,Total Run Score,Total Discards Used,Total Cards Played,Best Hand Score,Hand played for Best Hand Score,Rounds Won,Rounds Played,Antes Won,Run Average Score,Average Discards,Flush Count,Four of a Kind Count,Full House Count,High Card Count,Pair Count,Straight Count,Straight Flush Count,Three of a Kind Count,Two Pair Count
0,2627.0,5.0,69.0,324,Straight,4,5,1,656.8,1.2,3.0,0.0,0.0,1.0,0.0,7.0,0.0,2.0,3.0
0,1104.0,3.0,33.0,372,Full House,2,3,0,552.0,1.5,1.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,2.0
0,1732.0,4.0,52.0,372,Full House,3,4,1,577.3,1.3,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0
0,1719.0,7.0,48.0,372,Full House,3,4,1,573.0,2.3,1.0,0.0,2.0,0.0,1.0,2.0,0.0,3.0,3.0
0,2512.0,11.0,62.0,700,Four of a Kind,4,5,1,628.0,2.8,2.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,7.0
0,1784.0,3.0,50.0,368,Full House,3,4,1,594.7,1.0,1.0,0.0,3.0,0.0,2.0,2.0,0.0,0.0,4.0
0,2168.0,8.0,55.0,700,Four of a Kind,3,4,1,722.7,2.7,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,7.0
0,1660.0,6.0,51.0,352,Full House,3,4,1,553.3,2.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,5.0
0,1468.0,7.0,44.0,368,Full House,3,4,1,489.3,2.3,2.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,4.0
0,917.0,3.0,35.0,268,Flush,2,3,0,458.5,1.5,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0
0,2524.0,5.0,74.0,312,Flush,4,5,1,631.0,1.2,3.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,9.0
0,2388.0,8.0,61.0,588,Four of a Kind,4,5,1,597.0,2.0,2.0,1.0,3.0,0.0,1.0,2.0,0.0,0.0,5.0
0,2621.0,7.0,75.0,332,Flush,4,5,1,655.2,1.8,2.0,0.0,1.0,0.0,0.0,3.0,0.0,3.0,9.0
0,396.0,1.0,21.0,316,Straight,1,2,0,396.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0
0,2496.0,6.0,65.0,360,Full House,4,5,1,624.0,1.5,3.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,5.0
0,1264.0,2.0,38.0,336,Full House,2,3,0,632.0,1.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0
0,784.0,2.0,32.0,332,Flush,2,3,0,392.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,5.0
0,2900.0,6.0,75.0,372,Full House,4,5,1,725.0,1.5,2.0,0.0,6.0,0.0,0.0,3.0,0.0,0.0,5.0
0,1467.0,8.0,33.0,368,Full House,3,4,1,489.0,2.7,0.0,0.0,2.0,2.0,0.0,3.0,0.0,2.0,0.0
0,2391.0,5.0,67.0,360,Full House,4,5,1,597.8,1.2,0.0,0.0,2.0,0.0,1.0,5.0,0.0,2.0,6.0
0,1437.0,3.0,43.0,324,Straight,3,4,1,479.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,6.0
0,1802.0,4.0,53.0,324,Straight,3,4,1,600.7,1.3,1.0,0.0,1.0,1.0,0.0,2.0,0.0,4.0,5.0
0,1756.0,2.0,45.0,372,Full House,3,4,1,585.3,0.7,2.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0,3.0
0,1804.0,6.0,57.0,368,Full House,3,4,1,601.3,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,7.0
0,1456.0,2.0,56.0,320,Flush,3,4,1,485.3,0.7,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,9.0
0,804.0,5.0,34.0,300,Full House,2,3,0,402.0,2.5,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,5.0
0,2716.0,5.0,74.0,368,Full House,4,5,1,679.0,1.2,2.0,0.0,3.0,0.0,1.0,4.0,0.0,1.0,6.0
